Type,Name,Icon,Description,Downloads,Score,Genre,Currency,Price,Free
General mental health,Mental Health Tests,https://play-lh.googleusercontent.com/-IJ0TSmyPLmGneKS-eP7tR6N44i2CJZ5lqh14ycduQq_9UD_iLh7XvGBOFcKOpiV,"<h1><b>FIND OUT IF YOU HAVE A MENTAL HEALTH CONDITION</b></h1><b>The tests in this app are one of the quickest ways to determine whether you are experiencing symptoms of a specific mental health condition.</b> Mental health conditions, such as depression or anxiety are real, common and treatable. And recovery is possible.

<h2><b>FEATURES:</b></h2>★ Track your results over time
★ Send results to a friend, family member or therapist
★ Find therapists in your area

<h2><b>DESCRIPTION:</b></h2>Over 25 mental health tests including:

★ Depression Test
★ Anxiety Test
★ Adult ADHD Test
★ PTSD Test
★ Alcohol/Substance Abuse and Addiction Test
★ Eating Disorder Test
★ Gambling Addiction Test
★ Mania Test
★ Narcissism Test
★ Postpartum Depression Test
★ Sex Addiction Test
★ Video Game Addiction Test
★ Internet Addiction Test
★ Toxic Workplace Test
★ Panic Disorder Test
★ Obsessive-Compulsive Disorder Test
★ Male Sexual Dysfunction Test
★ Female Aggression Test
★ Male Aggression Test
★ Bipolar Disorder Test
★ Female Sexual Dysfunction Test
★ Social Anxiety Disorder Test
★ Hoarding Disorder Test
★ Psychosis Test
★ Borderline Personality Disorder Test
★ Dissociative Identity Disorder Test
★ Schizophrenia Test

<h2><b>SUPPORT:</b></h2>We’d love to hear your feedback at team@mind-diagnostics.org

<h2><b>FOLLOW US:</b></h2><b>Web:</b> https://www.mind-diagnostics.org
<b>Blog:</b> https://www.mind-diagnostics.org/blog
<b>Instagram:</b> https://www.instagram.com/minddiagnostics/?hl=en
<b>Facebook:</b> https://www.facebook.com/MindDiagnostics/
<b>Twitter:</b> https://twitter.com/MindDiagnostics

<h1><b>Download the Mental Health Tests app now and find out if you are suffering from a mental health condition.</b></h1>","500,000+",4.3364487,Medical,USD,0.0,True
General mental health,‎MyPossibleSelf: Mental Health,https://play-lh.googleusercontent.com/o9trIu4yGHdKMSnCNm9XLWucQBJNc_k1wtwskN-dldNzMI1YFZ97a50TvXPr4OR30L4,"We want to give you access to the best toolkits available to improve your mind. Teaming up with our friends at Priory, world leaders in mental health, we have created interactive tools and coping strategies, using cognitive behavioural therapy (CBT), customised for digital use. Together, we’ll guide you through life’s challenges and help you take care of yourself. Imagine the possibilities.

STRATEGIES THAT WORK FOR YOU 

Using innovative ideas designed with you in mind. Here are just a few:
	Toolkit - to help you identify behaviours and monitor progress
	Tags - to help you recognise the activities, people and places that influence your mood
	Mood trackers - to record how you feel and help you understand your moods
	Visual and audio exercises - to help boost your mood, relax your mind or drift off to sleep
	Insights - to help you understand yourself better and do more of the things you like
	Journals - to record worries, emotions, and actions in the moment 
	Motivational messages and tips - to encourage you every step of the way

Are you ready to get started on your journey to a happier and healthier life?


WHAT THEY SAY

“My Possible Self is the doctor-approved self-care app to keep anxiety in check.” - London Evening Standard
 
“If your mental health is a concern, My Possible Self may be the app for you.” - Hello Magazine

“It's kind of like having a pocket therapist.” - Buzzfeed


JOIN OUR COMMUNITY
Instagram.com/mypossibleself
Facebook.com/mypossibleselfapp
Twitter.com/mypossibleself

Privacy policy - https://app.mypossibleself.com/our-privacy-statement.html
Terms and conditions - https://app.mypossibleself.com/our-terms-and-conditions.html","100,000+",4.57,Health & Fitness,USD,0.0,True
General mental health,being: my mental health friend,https://play-lh.googleusercontent.com/vm9OJOcRYVazsvjCTdCBb3gpLVvNxo_ii64PyzRV44PGPtfhz0WhV6nPXd3hXB5mIT4,"Are you battling your <b>mental health</b> troubles alone?

Problems with your partner that leave you needing <b>mental support</b>?

Is your work inducing <b>stress</b> and <b>anxiety,</b> making each day harder to get through?

Are you tired of <b>mental health apps</b> that focus only on <b>meditation?</b>

If you seek <b>mental relief</b> and <b>better help</b> for <b>mental health</b> that goes beyond <b>mindfulness</b>...

You're in the right place.

Hi there, Welcome to being 👋

A unique <b>self-therapy app</b> (read: buddy) that <b>care</b>s.

Your <b>mental health friend</b> and <b>self-care guide</b>.

<b>meditation</b> and <b>mindfulness alone</b> can't <b>support mental well-being</b>.

Why? Because mental health means feelings, countless feelings that we experience every single day. 

And <b>being</b> has something for <b>all</b> of them. 

A <b>therapy app</b> that goes beyond traditional <b>mindfulness practices</b> to address what you're feeling in the moment.

Be it <b>stress</b>, <b>depression</b>, <b>anxiety relief</b>, <b>productivity</b>, loneliness, or any mental and emotional struggle you are battling,

being seeks to understand you, to help you GROW through what you GO through.

HOW?

<b>being</b> offers you small, easy, and simple steps for <b>self-improvement.</b>

When you're lonely, upset, anxious, or depressed,

When you can't <b>sleep</b> or question your existence,

Even when you don't know what you are feeling…

<b>Try A Mini-Therapy 💖</b>

A mini-<b>therapy</b> is a bite-sized <b>therapy</b> session.

<b>Professionally created</b>, short, interactive, and hyper-personalized

For all your emotions… known or unknown.

The best part? Start feeling better in under 10 minutes. 🤗

When you need <b>mental relief</b> or <b>therapy</b>, give <b>Mini-therapy</b> a try.

<b>Form Mini-Habits 🌻</b>

Mini-habits help you practice self-acceptance and <b>self-care</b> through small steps,

And support <b>anxiety release</b> by helping you be in the moment :)

Let <b>Music Therapy 🎵</b> help you <b>find mental love</b>.

Anytime is a good time for <b>self-care,</b> whatever the mood.

And being has a playlist for <b>every</b> mood, emotion, and activity.

Even a few minutes of being's <b>Music Therapy</b> enables <b>anxiety relief.</b> ✨

Some <b>mental health apps</b> deliver <b>meditation</b> or mindfulness advice.

And some people may shame you for talking about your emotions (or ask you to “go take a walk”)

But not <b>being</b>.

<b>being</b> recognizes that <b>mental health</b> is a continuous and lifelong journey.

And when it comes to <b>coping</b> with <b>anxiety and depression,</b>

Every day is different. Some days are more challenging than others…

No matter what, <b>being</b> will be your <b>mental health friend</b> on all kinds of days, even the hardest ones.

With:

✔ Science-backed tools like <b>CBT</b> & <b>DMT</b>

✔ Calming & Focus Music

✔ Journal prompts 

✔ Affirmations 

✔ and much more!

You see, <b>self-help</b> is the most important kind of help for <b>personal well-being</b>.

But what if you also had a bit of guidance and a whole lot of <b>care</b> and love to go along? Enter <b>being.</b>

We can't promise that there won't be tough times;

But even on days when you can't see a single ray of light,

<b>being</b>'s got your back.

Your <b>mental health</b> is safe with <b>being</b>! Promise!

Now take a few minutes to relax and just be :)

Your new pal, being 💜

<b>Disclaimer:</b> being is not a replacement for counseling or <b>therapy</b>.","500,000+",4.43,Health & Fitness,USD,0.0,True
General mental health,"heyy, your mental health guide",https://play-lh.googleusercontent.com/vRSCPGCpnAoZ3daWmifL6Q_Kgw6MayG8ynkzXhlfWovFe53gfYZbw0II2PoY-tcy0Rc,"We’re heyy, your mental health & emotional well-being guide & we’ll help you kick-start your self care journey. When it comes to depression, online therapy, sleep activities or even self care, taking that first step can be hard. That’s what we’re here for!

Our new-age app is a mental health tracker, free therapy provider, wellness coach & depression help center – all rolled into one! Like other leading self care apps & online therapy services, heyy, was built in collaboration with mental health professionals & experts having PhDs in areas related to mental health & self care. In doing so, we’ve ensured that when it comes to your self care journey or even managing depression, nothing’s left out. Every resource on our mental health & self care app is research-backed, bite-sized & tailored to you – be it for therapy, depression or stress relief.

Get started on your mental health & self care journey with our mental health app for free therapy, stress relief, mental health tests, depression help, free mental health services & more. Our therapy app is a community of 90K+ users, each of whom gets 24X7 access to one-on-one mental health, self care, depression help, therapy, stress relief services & more! In addition to free mental health services, depression help & self care tips, here’s what else you’ll find on our mental health app:

Self-Assessments: Easy tools that help you measure your emotional & mental states. They work like mental health trackers, giving you a health score & recommendations on mental health & selfcare. They also help manage depression, give stress relief, enhance therapy & strengthen self care know-how.

Check-ins: A free mental health tracker that gives a bigger picture of where you stand in terms of your current level of self care, & how you can avail our therapy services to get depression help or even some stress relief.

Instant Care : Our Wellbeing Guide chat provides support in over 60+ areas and assistance in over 10 different languages. Wellbeing Guides are trained psychologists providing you with 24x7 confidential support and a safe space for all your mental health concerns. Each Wellbeing Guide is almost like a therapist trained to help with depression and self-care. Instant Care Chat is completely free for the first 24 hours! Connect with your personal guide and be heard.

Experts: Enhance your selfcare regime & book online therapy sessions with experienced mental health professionals. Our therapists are trained to address a wide range of concerns ranging from depression to selfcare & stress relief.

Sleep sounds, sleep stories & more: heyy is also a free sleep app. Like other leading sleeping apps, we bring together curated content like sleep music & sleep sounds  to help you wind down, slow down your brain & get into a ‘sleep mode’. We do this to help you enhance the quality of your sleep and, in turn, the quality of your emotional & mental well-being.

Seeking out therapists, depression help, self care services, a wellness coach or even therapy apps & mental health apps is hard, but you aren’t alone! 

heyy, also helps with:

Self-esteem & self-image
Confidence issues
Body dysmorphia & body image
Pre-marital & Marital issues
Academic/career-related stress

Relationship problems
Gender identity & sexuality-related difficulties
Sexual wellness, sexual health & sex education
Anxiety
Depression
Grief
Emotional abuse
Physical & sexual abuse
Selfcare & personal growth
Loneliness
Anger
Trauma
Peer pressure
Gender-based Discrimination
Productivity & time management issues
Relationship issues
 
Terms of Service - https://heyy.life/user-terms-and
conditions/
Privacy Policy - https://heyy.life/privacy-terms/
Crisis Helplines - htttps://heyy.life/crisis-helpines/
Disclaimer: We’re not a medical service or suicide prevention helpline. If you are feeling suicidal, please call up a crisis helpline number listed on our website & app.","100,000+",4.282051,Health & Fitness,USD,0.0,True
General mental health,"Wysa: Anxiety, therapy chatbot",https://play-lh.googleusercontent.com/_2t27Nwv0sJgq3XsUCP-haxf0C17xzIEVtO4Pfrp_cSJG-VJAWzIC0DAlVF2kEx8ol2M,"Imagine a mood tracker, mindfulness coach, anxiety helper, and mood-boosting buddy, all rolled into one. Wysa, your happiness buddy is that friendly and caring chatbot. Wysa is packed with daily spiritual meditation that improves mental health and is also a perfect way to bond over family meditation. Always there for you when you need someone to talk to, Wysa helps you keep track of your mood with friendly chats and helps fight stress and anxiety with its proven techniques and calming meditation and mindfulness audios. Checking in with Wysa regularly will improve your emotional health so you can track your happiness and mood. Talk to Wysa now and psy yourself up to fight off stress. Also, Wysa has mental health assessment with depression and anxiety tests.

Wysa is your AI friend that you can chat with for free. Talk to the cute penguin or use its free mindfulness exercises for effective anxiety relief, depression and stress management. Its therapy based techniques and conversations make for a very cute and calming therapy chat app whether you're looking to cope better with mental disorders, to manage stress or to boost your mental health.

Wysa, your happiness buddy, will support you through the big and small anxieties of life by using science as a foundation to strengthen your mental health. Research-backed, widely used techniques of CBT, DBT, Yoga and meditation are employed to support you with stress, anxiety, deep sleep, loss and other mental health and wellness needs.

If you are dealing with stress, anxiety and depression or coping with low self-esteem, then talking to Wysa can help you relax and get unstuck - it’s empathetic, helpful, and will never judge. You will overcome your mental health obstacles, through empathetic conversation and free CBT therapy based technique. So, pour your heart out to your happiness buddy, Wysa as your identity will remain anonymous and your conversations are privacy protected.

Used around the clock and trusted by 500,000 people, Wysa is an emotionally intelligent chatbot that uses AI to react to the emotions you express. Unlock tools and techniques that help you cope with challenges in a fun, conversational way. For extra support, you can avail guidance from a real human coach - a skilled psychologist who will take you through the advanced coaching sessions for your needs.

You can use Wysa to rewire your mind to improve your emotional health. Fight off depression or get stress relief using cbt techniques and guided sleep meditations for optimal sleep. Here’s a look at what you can use Wysa for 👇

👂 Vent and talk through things or just reflect on your day with your AI chatbot
💪 Practice CBT (Cognitive Behavioral Therapy) and DBT techniques to build resilience in a fun way
📝 Use one of 40 conversational coaching tools which helps in dealing with Stress, Anxiety, Depression, Panic Attacks, Worry, Loss, or Conflict
💆🏻 Relax, focus and sleep peacefully with the help of 20 mindfulness meditation exercises

93% of the people who talk to Wysa - AI
companion find it and the tools helpful
- Build confidence, reduce self-doubt and improve your self-esteem: core meditation and mindfulness, visualisation, confidence visualisation techniques, advanced mindfulness for self-esteem
- Manage anger: mindfulness meditation exercises for compassion, calming your thoughts and practice breathing
- Manage anxious thoughts and anxiety: deep breathing, techniques for observing thoughts, visualization, and tension relief
- Tired? Get a burst of energy! Visualisation and meditation exercises to increase positivity and get blissful sleep, quick yoga and physical exercises to get active
- Dealing with worry: observe mindfulness, resolving technique, challenge negativity, practice breathing techniques
- Manage conflict at work, school or in relationships: special mindfulness and visualization techniques like empty chair exercise, gratitude meditation, exercises to build skills in having difficult conversations","1,000,000+",4.7392983,Health & Fitness,USD,0.0,True
General mental health,BetterMe: Mental Health,https://play-lh.googleusercontent.com/NkebNy-WF51F7sTx8UVS6fE8Arl6uzeLk0Ok6BGsj4bYqTQFQS38zhKQ1bsuV2bb4Yo,"BetterMe: Self-help meditation for people who can't meditate! 🧘‍♀️

🌿 All you need is few minutes a day to bring yourself to a state of calm and wellness, and balance your life using a combination of guided meditations and techniques. BetterMe's approach is a set of simple, practical relaxation methods for anyone.

You will learn how to manage daily stress and improve your mental health by breathing, which is a natural anti-anxiety therapy. Studies show that meditation can help reduce anxiety, improve sleep and concentration and enhance overall well-being. But to claim these benefits, regular and meaningful practice is key. 

✅ With our app, you will have the opportunity to set goals for yourself like reducing anxiety, developing stress resilience, sleeping better, increasing self-love, and improving your concentration. You will work to meet these goals with a personalized, self-help daily plan and daily mindfulness meditations.

If you're looking for ways to compliment your self-care routine, control stress and anxiety, and have a more positive outlook on life, our app is just what you need 💙 Maybe you've tried other mindfulness apps with no success. It's time to try BetterMe. Our app is a simple and manageable solution to managing your stress and changing your outlook, and all you need to do is complete daily 3-minute meditations.

Rather than try to force yourself to focus for long periods of time, which is difficult, especially if you're new to meditation, BetterMe provides short but effective meditations that are personalized daily to increase your happiness 🙃 Do what's best for you today: follow guided meditations to fit your mood, or allow yourself to be free and enjoy the fun, unguided meditations with nature sounds.

🏕 Let BetterMe accompany you on your journey to managing your stress and anxiety, and discovering a world of self-love and better mental health.

Why you should choose BetterMe: in just 3 minutes each day, you will improve your quality of life by reducing stress and improving focus 😌
 
We offer a wide range of subscription options so that you can choose the right one for you. For your convenience subscriptions are set to Auto-Renew within the 24-hour period prior to the subscription end date. You can cancel your subscription at any moment, but refunds will not be provided for any unused portion of the terms. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.

Read more about our Terms and Conditions here - https://betterme.world/terms
 
Privacy Policy - https://betterme.world/privacy-policy
Subscription Terms - https://betterme.world/subscription-terms","1,000,000+",4.3505154,Health & Fitness,USD,0.0,True
General mental health,Dr.Mind: Mental Health Tests,https://play-lh.googleusercontent.com/tuUPyth1Fcx7V-qegtFGjIDQXZRoF-TXWdeeTIbRN4WA9l0YsGK5wOzPLvFE2q9TkAA,"<h1><b>Dr.Mind - Mental Health Screening | Self Care Tool</b></h1>
Feeling low, detached, or disengaged? Perhaps it’s time to identify and corroborate your mental health issues!

Presenting Dr. Mind, the only free platform dedicated to recognising and providing solutions to all issues regarding your mental health and emotional wellbeing. 

You can search your symptoms and choose from a multitude of medically verified psychological tests. 

This app also includes numerous mental health tests like
✮Alcohol addiction Test
✮Shopping addiction Test
✮Smoking addiction Test
✮Drug addiction Test
✮General anxiety Test
✮Post traumatic stress disorder  PTSD Test
✮Agoraphobia Disorder Test
✮Panic Disorder Test
✮Attention Deficit Hyperactive Disorder ADHD Test
✮Adult Autism Test
✮Childhood Autism Test
✮Memory Loss Test
✮Eating Disorder Test
✮Depression Test
✮Bipolar Disorder Test
✮Erectile Dysfunction Test
✮Suicide Behaviour Test
✮Obsessive compulsive disorder OCD Test
✮Appearance Anxiety Test
✮Schizophrenia Test
✮Aggression Disorder Test
✮Female Sexual Dysfunction Test
✮Detachment Disorder Test

and many more...

Trust Dr.Mind and try it out today, because having a healthy mind is crucial for having a healthy body!

<h1><b>Features</b></h1>
✮Take a medically verified test from 25+ symptoms
✮Track your mental health
✮Get Help from nearby suicide centers.
✮Watch videos and learn about symptoms
✮Share your Report to Medical professionals, Friends, and Family
✮Share the test with your Friends and Family

<h1><b>Reach us</b></h1>
Do you like to be a contributor?  
We are happy to connect with you and reach you

Check our website:<a href=""https://www.google.com/url?q=https%3A%2F%2Fdrmind.care&sa=D&sntz=1&usg=AOvVaw2lYt9kONsTvMPHHFQbe4oc"">http://drmind.care</a>
Contact us:<a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.drmind.care%2FcontactUs.html&sa=D&sntz=1&usg=AOvVaw2sV1MwUk90IMYaNcTrPAGl"">https://www.drmind.care/contactUs.html</a>
Follow us on instagram: <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Fdrmind.care&sa=D&sntz=1&usg=AOvVaw3a8RGOb7zhCuWG5F1L7ckL"">https://www.instagram.com/drmind.care</a> 
Like us on facebook:<a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fdrmind.care&sa=D&sntz=1&usg=AOvVaw1fVrbZs2FHz1BxWYTgXD8F"">https://www.facebook.com/drmind.care</a> 

<h1><b>Download The Dr.Mind app and share with your friends, family and take a free test to find out if you are suffering from any mental health symptoms.</b></h1>


<h3><b>Disclaimer</b></h3>

No single test is completely accurate. You should always consult your physician when making decisions about your health.","5,000+",3.4545455,Medical,USD,0.0,True
General mental health,Cerebral - Mental Health,https://play-lh.googleusercontent.com/5pakxks-B5hq_D_MYd35DEBI2iop22tNu_V9KoU9h05jHU0axhoqN-iT9hWPJrD25aE,"Cerebral offers online psychiatric and therapeutic help for anxiety, depression, and insomnia. Without leaving the comfort of your home, you can have:

- Video/phone appointments with your prescribing mental health provider
- Ongoing sessions with your therapist or care counselor in which you can discuss your progress and learn new skills, like mindfulness
- Any prescribed medications delivered straight to your door

Getting started is easy, and many members can have their first visit within 20 minutes of signing up! 

Here’s how it works:
1. Tell us a bit about your symptoms by answering a few short questions.
2. Select a plan that suits your needs. Membership plans include prescription services, therapy, or a combination of both.
3. Get on a video/phone call with one of our prescribing mental health providers.
4. Chat with your counselor.
5. Receive any prescribed medications within just a few days.
6. Have regular check-ins with your mental health provider and counselor.

Now, you can easily access your Cerebral meetings and message your care team with your Android device. It’s like having a full mental health team on call: wherever and whenever you need them.

Cerebral can have positive impacts on your mental health and well-being, just like it has for so many of our patients. Here’s what a few of them are saying:

“My therapist suggested I consider antidepressants months ago, but the cost to see a psychiatrist was too high. So I just didn’t try antidepressants at all for awhile. Since my therapist referred me to Cerebral, I get to talk not only to my prescribing doctor but also to a care counselor who makes herself available to answer all of my questions.” - Alex M

“What an easy way to access really awesome care. Cerebral makes it easy - and my doctor and care counselor really care about me. When I first signed up, I thought it would be all about medication, but my Care Counselor Steven has shown me techniques like deep breathing exercises that really calm me down when I’m having a hard time.” - Diana L

“Cerebral makes it so easy!!!” - David C.

Sign up for a membership at getcerebral.com.","100,000+",4.159132,Medical,USD,0.0,True
General mental health,Breeze: mental health,https://play-lh.googleusercontent.com/GZs3fGK4DHcuOoyEHXEBkhc6jI-uxW30XrB6_Ih7cgPjbiHmB5kS2f4v2mgpufgcnAk,"If you need an awesome tool to keep a diary and improve your mental well-being, then look no further. Meet Breeze — a mood tracker that is here to become your faithful ally in strengthening your mental health. Feelings to track, detailed stats to check, tests to do, and courses to learn — let us provide you with the features that will help you grow! 

Breeze doesn’t aim to replace a therapist. The mission is to help you improve your self-assessment and raise your awareness about depression, anxiety, bipolar disorder, extreme mood swings, and other mental disorders. The app is based on several concepts from cognitive-behavioral psychotherapy and contains four main features described below.

Mood tracker

Journal your mood daily to better understand the nature of your feelings and learn to be more in control of your emotions. Create a map of your emotional conditions and be aware of people and activities that make you happy or bring you down.

Negative thoughts tracker

The concept of automatic negative thoughts comes from cognitive behavioral therapy. The idea is that even minor negative thoughts that automatically appear in our consciousness influence our mood and psychological conditions.
We provide you with several interactive techniques that help recognize and fight such negative patterns in thinking.

Tracker of cognitive distortions

Is it depression that makes you feel low? How to cope with panic attacks and anxiety? How to take care of people with bipolar disorder? We give some useful insights into popular cognitive distortions and teach you how to identify flaws in your thinking and behavior.
Tests and self-assessments to discover your inner self

The concept of psychological testing helps a lot to understand certain behaviors. We offer a great variety of tests: the Beck Anxiety Inventory Test, Beck Depression Inventory Test, Personality test, Mood Disorder Test, Test on Positive outlook, and many more. 
Advice from a psychotherapist (in future updates)
Some practical advice from an acknowledged psychotherapist — he will cover widespread topics and issues people usually have in different areas of life.

Breeze contains the following subscription options:
- Weekly (with 3-days free trial) at $4 ; 
- Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Account will be charged at the full price of the chosen subscription period. Account will be charged for renewal within 24-hours prior to the end of the current period
- Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication.
- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase.","500,000+",3.819367,Health & Fitness,USD,0.0,True
General mental health,Sanvello: Anxiety & Depression,https://play-lh.googleusercontent.com/zdkBgIAx4BA6e9zwIuzQjLu59fF40UahyekuNISeTCQPMuJMjbweFB13meGeSZechbPh,"Whether you’re feeling anxious, lonely, overwhelmed, or just burned out, Sanvello will meet you where you’re at. Think of it as your feel-better toolkit, including therapy, coaching, coping techniques, meditations, and goal and mood tracking, designed by experts to help you feel better.  

Best of all, your Sanvello journey is customizable to you. The app checks in with how you're feeling so you can track your emotions and progress over time. As patterns are identified, Sanvello will provide customized tools, rooted in cognitive behavioral therapy, to keep you on the path to feeling better. 

Take time for yourself by downloading Sanvello today. 
 

FREE ACCESS THROUGH HEALTH PLANS (U.S. ONLY): 
Over 40 million Americans have Sanvello Premium included in their health plans and Sanvello Therapy is in-network for 90 million. Check your plan instantly in the app. No insurance or outside the U.S.? No problem—many of our most popular tools and guides are free to ensure everyone can take care of their mental health, plus we have affordable self-pay subscriptions for that extra bit of support. 
 

SELF-CARE:  
Get started by checking in with your mood or taking one of our assessments to get your stress, anxiety, and depression scores. This establishes your baseline and helps us recommend personalized in-app activities to get you on the path to feeling better. Go on the “Braving Anxiety” Guided Journey with John Green, or “Feeling Better” with Kati Morton. Want to chart your own course? Explore our library of coping tools, thought reframing exercises, meditations, and more.  
 

COMMUNITY:  
You’re not alone: The Sanvello community is millions strong, and they find each other in the Sanvello community. Get a fresh perspective on anxiety, gratitude, and dozens of other topics by anonymously participating in active discussion boards and chat groups. 
 

THERAPY: 
Feel better in half the time of traditional therapy with Sanvello Therapy, which matches you with a licensed clinician—and includes a mental health coach and Premium access to self-care content at no-cost while you’re in therapy. Therapy is only available in the U.S. in the following states: AZ, CA, CO, FL, GA, IL, IN, MA, MD, MI, MN, MO, NJ, NY, NC, OH, PA, RI, TN, TX, VA, WA, WI. Have a therapist you love already? They can use Sanvello for Clinicians to assign activities and see your progress.  
 

COACHING:  
Face new challenges with help from someone you can trust. Sanvello Coaches provide direction, support, and motivation through 1:1 messaging—judgment free. Your coach is there to be your sounding board in achieving your goals. You also have an all-access pass to group coaching sessions—live classes that help you apply the concepts of CBT to real life—and all our self-care tools within the app. Sanvello Coaching is only available in the U.S. 

 

SUBSCRIPTION PRICING & TERMS: 
Sanvello is free to download and use. The premium version of Sanvello allows for unlimited use of all tools and is available through many major health plans (“upgrade via insurance”) or through an auto-renewing subscription. Payment will be charged to your Google Play account at confirmation of purchase. Your subscription will renew automatically unless auto-renew is turned off at least 24-hours before the current period ends. Your Google Play account will be charged for renewal within 24-hours prior to the end of the current period at the price listed above. You can turn off auto-renew at any time from your Google account settings but refunds will not be provided for the unused portion of the term. If a free trial period is offered, it will be forfeited as soon as your purchase is confirmed. 

Terms of Service: https://sanvello.com/tos/    

Privacy Policy: https://sanvello.com/privacy-policy/  
 
Help: https://help.sanvello.com or info@sanvello.com","1,000,000+",4.5718904,Medical,USD,0.0,True
